0,0.0
2,0.01
8,0.02
9,0.03
13,0.04
16,0.05
17,0.06
20,0.07
22,0.08
23,0.09
28,0.1
29,0.11
31,0.12
32,0.13
34,0.14
37,0.15
39,0.16
42,0.17
43,0.18
44,0.19
46,0.2
49,0.21
51,0.22
53,0.23
54,0.24
55,0.25
56,0.26
57,0.27
58,0.28
60,0.29
65,0.3
66,0.31
67,0.32
68,0.33
69,0.34
72,0.35
74,0.36
76,0.37
79,0.38
80,0.39
81,0.4
86,0.41
87,0.42
89,0.43
91,0.44
92,0.45
93,0.46
94,0.47
95,0.48
99,0.49
100,0.5
103,0.51
106,0.52
107,0.53
111,0.54
112,0.55
113,0.56
114,0.57
118,0.58
121,0.59
123,0.6
125,0.61
128,0.62
131,0.63
135,0.64
136,0.65
137,0.66
139,0.67
141,0.68
143,0.69
145,0.7
146,0.71
150,0.72
151,0.73
152,0.74
153,0.75
158,0.76
159,0.77
161,0.78
162,0.79
163,0.8
164,0.81
165,0.82
166,0.83
167,0.84
170,0.85
172,0.86
177,0.87
178,0.88
180,0.89
182,0.9
183,0.91
184,0.92
187,0.93
192,0.94
193,0.95
196,0.96
200,0.97
201,0.98
203,0.99
205,1.0
208,1.01
210,1.02
215,1.03
216,1.04
217,1.05
220,1.06
223,1.07
225,1.08
226,1.09
227,1.1
230,1.11
231,1.12
233,1.13
234,1.14
235,1.15
236,1.16
237,1.17
238,1.18
239,1.19
243,1.2
244,1.21
246,1.22
249,1.23
251,1.24
252,1.25
253,1.26
254,1.27
256,1.28
258,1.29
259,1.3
261,1.31
262,1.32
263,1.33
264,1.34
268,1.35
270,1.36
271,1.37
274,1.38
276,1.39
277,1.4
278,1.41
280,1.42
281,1.43
285,1.44
287,1.45
290,1.46
291,1.47
297,1.48
298,1.49
299,1.5
304,1.51
305,1.52
307,1.53
308,1.54
309,1.55
311,1.56
312,1.57
313,1.58
314,1.59
316,1.6
317,1.61
319,1.62
322,1.63
323,1.64
324,1.65
325,1.66
326,1.67
327,1.68
329,1.69
330,1.7
332,1.71
334,1.72
336,1.73
343,1.74
344,1.75
346,1.76
347,1.77
349,1.78
351,1.79
352,1.8
357,1.81
360,1.82
364,1.83
365,1.84
366,1.85
371,1.86
373,1.87
374,1.88
377,1.89
378,1.9
379,1.91
380,1.92
381,1.93
383,1.94
384,1.95
386,1.96
387,1.97
389,1.98
390,1.99
391,2.0
392,2.01
393,2.02
396,2.03
397,2.04
398,2.05
405,2.06
406,2.07
408,2.08
410,2.09
413,2.1
415,2.11
417,2.12
423,2.13
426,2.14
427,2.15
428,2.16
430,2.17
431,2.18
432,2.19
433,2.2
436,2.21
437,2.22
438,2.23
439,2.24
440,2.25
442,2.26
445,2.27
446,2.28
447,2.29
448,2.3
450,2.31
453,2.32
457,2.33
458,2.34
464,2.35
